length,puns,complexity,funny
7,4,9,0
16,2,1,1
14,1,9,0
32,2,7,1
30,2,8,1
5,4,8,0
43,2,1,0
10,1,2,1
8,3,6,0
10,4,8,0
38,1,2,1
24,1,8,0
6,0,4,0
36,3,3,1
30,0,4,0
40,4,1,1
40,1,2,0
25,4,2,0
18,2,1,0
35,2,3,0
29,4,5,1
29,0,1,1
14,4,7,1
14,4,9,0
20,2,1,1
45,4,7,0
12,3,3,1
8,2,7,1
39,4,8,0
7,2,2,1
44,3,1,1
46,4,6,0
15,0,6,1
11,1,4,1
46,1,8,0
38,0,7,0
35,3,4,1
47,2,7,1
8,3,2,1
35,3,2,0
15,1,9,0
21,1,5,1
24,3,9,0
5,0,2,0
35,4,6,0
42,1,4,0
38,4,9,1
29,0,9,0
24,0,5,1
48,1,2,1
27,3,1,1
25,0,6,1
33,2,1,1
26,0,2,1
26,3,8,1
47,3,8,0
32,3,2,0
27,2,5,0
36,4,2,0
21,1,6,0
37,3,3,1
12,4,6,0
26,4,8,1
27,1,8,1
48,4,9,0
19,1,6,0
11,3,7,0
21,3,9,1
43,4,8,0
6,0,9,1
46,1,2,0
9,4,8,0
33,0,8,1
11,1,6,1
40,3,4,0
31,2,1,1
41,0,1,0
19,4,7,1
39,3,6,1
31,3,1,1
26,0,8,0
43,1,3,0
48,1,8,1
11,4,1,1
19,3,9,1
37,1,4,1
26,2,4,0
7,0,7,1
42,0,6,1
26,0,4,1
26,1,7,1
25,2,4,1
45,4,6,1
48,0,3,0
24,1,9,0
36,1,2,1
28,1,8,0
41,1,6,0
5,0,7,1
35,4,3,1
41,4,3,0
40,1,3,0
40,3,6,1
46,4,8,1
49,4,4,0
46,3,3,0
12,1,8,1
13,4,5,0
19,1,3,1
37,4,7,1
48,1,9,0
15,3,2,1
10,1,8,0
10,4,7,0
19,0,9,0
49,0,6,1
6,0,9,0
19,0,9,1
35,0,7,0
49,1,4,1
12,1,9,1
45,0,4,1
36,4,2,0
31,2,8,0
43,0,6,0
36,3,5,1
40,2,9,0
21,4,9,1
19,0,4,0
46,3,5,1
7,3,4,1
35,2,8,1
38,2,1,0
5,0,7,1
9,4,9,0
33,4,5,0
10,1,5,1
36,2,1,1
19,1,1,1
12,1,1,1
37,3,2,1
20,3,3,1
42,2,7,1
28,4,2,0
39,4,8,1
35,3,3,0
41,4,2,0
11,0,3,0
11,2,9,0
13,1,2,0
41,2,8,1
16,2,1,1
38,3,1,0
44,1,9,0
14,4,5,1
12,3,8,1
9,0,2,0
11,2,9,0
40,1,2,0
16,2,5,0
35,3,6,1
46,4,5,0
10,1,6,1
13,0,8,1
25,2,8,1
16,0,3,0
15,4,9,1
27,2,2,0
33,4,5,1
6,3,2,1
37,1,7,0
10,3,3,1
37,4,6,1
48,1,1,0
15,4,8,0
10,1,7,0
13,4,3,1
31,2,6,0
23,3,7,0
48,0,6,1
27,2,3,0
21,3,2,0
15,2,9,0
6,1,7,0
14,0,1,1
36,4,7,0
18,0,1,1
32,1,5,1
46,1,6,0
43,3,4,0
47,3,9,0
49,3,9,1
8,4,4,0
18,4,1,1
26,3,1,0
47,3,4,1
29,2,5,1
30,3,3,1
26,0,3,1
17,4,5,0
15,0,8,1
